Province,City_District,Region_Type,Industry_Type,User_Type,Age_Group,Gender,Year_Month,User_Count,Transaction_Count,Transaction_Amount
Jeju-do,Jeju-si,Rural,Entertainment,Jeju_Resident,60s_and_above,F,2018-12,23,29,4240100
Jeju-do,Jeju-si,Rural,Entertainment,Jeju_Resident,60s_and_above,M,2018-12,114,190,27414000
Jeju-do,Jeju-si,Rural,Entertainment,Jeju_Resident,50s,F,2018-12,52,71,6848000
Jeju-do,Jeju-si,Rural,Entertainment,Jeju_Resident,50s,M,2018-12,259,458,91468500
Jeju-do,Jeju-si,Rural,Entertainment,Jeju_Resident,40s,F,2018-12,77,99,10021600
Jeju-do,Jeju-si,Rural,Entertainment,Jeju_Resident,40s,M,2018-12,238,375,63455500
Jeju-do,Jeju-si,Rural,Entertainment,Jeju_Resident,30s,F,2018-12,43,61,8359000
Jeju-do,Jeju-si,Rural,Entertainment,Jeju_Resident,30s,M,2018-12,129,188,25670700
Jeju-do,Jeju-si,Rural,Entertainment,Jeju_Resident,Under_20,M,2018-12,1,3,680000
Jeju-do,Jeju-si,Rural,Entertainment,Jeju_Resident,20s,F,2018-12,38,43,2391000
Jeju-do,Jeju-si,Rural,Entertainment,Jeju_Resident,20s,M,2018-12,67,103,11171600
Jeju-do,Jeju-si,Rural,Entertainment,Domestic_Tourist,60s_and_above,F,2018-12,16,21,4474000
Jeju-do,Jeju-si,Rural,Entertainment,Domestic_Tourist,60s_and_above,M,2018-12,45,59,8459100
Jeju-do,Jeju-si,Rural,Entertainment,Domestic_Tourist,50s,F,2018-12,38,47,4403500
Jeju-do,Jeju-si,Rural,Entertainment,Domestic_Tourist,50s,M,2018-12,136,174,23659532
Jeju-do,Jeju-si,Rural,Entertainment,Domestic_Tourist,40s,F,2018-12,60,74,5511100
Jeju-do,Jeju-si,Rural,Entertainment,Domestic_Tourist,40s,M,2018-12,126,187,25387500
Jeju-do,Jeju-si,Rural,Entertainment,Domestic_Tourist,30s,F,2018-12,97,104,3084850
Jeju-do,Jeju-si,Rural,Entertainment,Domestic_Tourist,30s,M,2018-12,147,180,14373060
Jeju-do,Jeju-si,Rural,Entertainment,Domestic_Tourist,Under_20,F,2018-12,2,2,62000
Jeju-do,Jeju-si,Rural,Entertainment,Domestic_Tourist,Under_20,M,2018-12,1,2,360000
Jeju-do,Jeju-si,Rural,Entertainment,Domestic_Tourist,20s,F,2018-12,162,173,4591600
Jeju-do,Jeju-si,Rural,Entertainment,Domestic_Tourist,20s,M,2018-12,91,108,3988600
Jeju-do,Jeju-si,Rural,Food_Beverage,Jeju_Resident,60s_and_above,F,2018-12,1165,2047,73671600
Jeju-do,Jeju-si,Rural,Food_Beverage,Jeju_Resident,60s_and_above,M,2018-12,2665,5781,213324525
Jeju-do,Jeju-si,Rural,Food_Beverage,Jeju_Resident,50s,F,2018-12,2604,4970,166440225
Jeju-do,Jeju-si,Rural,Food_Beverage,Jeju_Resident,50s,M,2018-12,4486,10258,358365895
Jeju-do,Jeju-si,Rural,Food_Beverage,Jeju_Resident,40s,F,2018-12,3500,7412,207099310
Jeju-do,Jeju-si,Rural,Food_Beverage,Jeju_Resident,40s,M,2018-12,4946,11545,361482317
